"game","date","time","home","opponent","outcome","overtime","scored","received","streak"
"1","Wed, Oct 29, 2014","10:00p EST","home","Sacramento Kings","W","0","95","77","W 1"
"2","Sat, Nov 1, 2014","10:30p EST","away","Los Angeles Lakers","W","0","127","104","W 2"
"3","Sun, Nov 2, 2014","9:00p EST","home","Portland Trail Blazers","W","0","95","90","W 3"
"4","Wed, Nov 5, 2014","10:30p EST","away","Los Angeles Clippers","W","0","121","104","W 4"
"5","Sat, Nov 8, 2014","8:00p EST","home","Houston Rockets","W","0","98","87","W 5"
"6","Sun, Nov 9, 2014","8:00p EST","home","Phoenix Suns","L","0","95","107","L 1"
"7","Tue, Nov 11, 2014","10:30p EST","away","San Antonio Spurs","L","0","100","113","L 2"
"8","Thu, Nov 13, 2014","10:30p EST","away","Brooklyn Nets","W","0","107","99","W 1"
"9","Sat, Nov 15, 2014","10:30p EST","away","Charlotte Hornets","W","0","112","87","W 2"
"10","Sun, Nov 16, 2014","9:30p EST","home","Los Angeles Lakers","W","0","136","115","W 3"
"11","Fri, Nov 21, 2014","10:30p EST","away","Utah Jazz","W","0","101","88","W 4"
"12","Sun, Nov 23, 2014","7:00p EST","home","Oklahoma City Thunder","W","0","91","86","W 5"
"13","Tue, Nov 25, 2014","7:30p EST","home","Miami Heat","W","0","114","97","W 6"
"14","Wed, Nov 26, 2014","7:00p EST","home","Orlando Magic","W","0","111","96","W 7"
"15","Fri, Nov 28, 2014","7:00p EST","home","Charlotte Hornets","W","0","106","101","W 8"
"16","Sun, Nov 30, 2014","3:30p EST","home","Detroit Pistons","W","0","104","93","W 9"
"17","Tue, Dec 2, 2014","10:30p EST","away","Orlando Magic","W","0","98","97","W 10"
"18","Thu, Dec 4, 2014","10:30p EST","away","New Orleans Pelicans","W","0","112","85","W 11"
"19","Sat, Dec 6, 2014","8:00p EST","home","Chicago Bulls","W","0","112","102","W 12"
"20","Mon, Dec 8, 2014","8:00p EST","home","Minnesota Timberwolves","W","0","102","86","W 13"
"21","Wed, Dec 10, 2014","10:30p EST","away","Houston Rockets","W","0","105","93","W 14"
"22","Sat, Dec 13, 2014","2:00p EST","home","Dallas Mavericks","W","0","105","98","W 15"
"23","Sun, Dec 14, 2014","6:00p EST","home","New Orleans Pelicans","W","1","128","122","W 16"
"24","Tue, Dec 16, 2014","8:00p EST","home","Memphis Grizzlies","L","0","98","105","L 1"
"25","Thu, Dec 18, 2014","10:30p EST","away","Oklahoma City Thunder","W","0","114","109","W 1"
"26","Mon, Dec 22, 2014","10:30p EST","away","Sacramento Kings","W","0","128","108","W 2"
"27","Tue, Dec 23, 2014","10:30p EST","home","Los Angeles Lakers","L","0","105","115","L 1"
"28","Thu, Dec 25, 2014","10:30p EST","home","Los Angeles Clippers","L","0","86","100","L 2"
"29","Sat, Dec 27, 2014","10:30p EST","away","Minnesota Timberwolves","W","0","110","97","W 1"
"30","Tue, Dec 30, 2014","10:30p EST","away","Philadelphia 76ers","W","0","126","86","W 2"
"31","Fri, Jan 2, 2015","10:30p EST","away","Toronto Raptors","W","0","126","105","W 3"
"32","Mon, Jan 5, 2015","10:30p EST","away","Oklahoma City Thunder","W","0","117","91","W 4"
"33","Wed, Jan 7, 2015","10:30p EST","away","Indiana Pacers","W","0","117","102","W 5"
"34","Fri, Jan 9, 2015","10:30p EST","away","Cleveland Cavaliers","W","0","112","94","W 6"
"35","Tue, Jan 13, 2015","9:00p EST","home","Utah Jazz","W","0","116","105","W 7"
"36","Wed, Jan 14, 2015","10:30p EST","away","Miami Heat","W","0","104","89","W 8"
"37","Fri, Jan 16, 2015","8:00p EST","home","Oklahoma City Thunder","L","0","115","127","L 1"
"38","Sat, Jan 17, 2015","8:00p EST","home","Houston Rockets","W","0","131","106","W 1"
"39","Mon, Jan 19, 2015","4:00p EST","away","Denver Nuggets","W","0","122","79","W 2"
"40","Wed, Jan 21, 2015","10:30p EST","away","Houston Rockets","W","0","126","113","W 3"
"41","Fri, Jan 23, 2015","10:30p EST","away","Sacramento Kings","W","0","126","101","W 4"
"42","Sun, Jan 25, 2015","8:00p EST","away","Boston Celtics","W","0","114","111","W 5"
"43","Tue, Jan 27, 2015","10:30p EST","away","Chicago Bulls","L","1","111","113","L 1"
"44","Fri, Jan 30, 2015","9:00p EST","home","Utah Jazz","L","0","100","110","L 2"
"45","Sat, Jan 31, 2015","10:30p EST","away","Phoenix Suns","W","0","106","87","W 1"
"46","Tue, Feb 3, 2015","10:00p EST","home","Sacramento Kings","W","0","121","96","W 2"
"47","Wed, Feb 4, 2015","10:30p EST","away","Dallas Mavericks","W","0","128","114","W 3"
"48","Fri, Feb 6, 2015","7:30p EST","home","Atlanta Hawks","L","0","116","124","L 1"
"49","Sat, Feb 7, 2015","7:30p EST","home","New York Knicks","W","0","106","92","W 1"
"50","Mon, Feb 9, 2015","7:00p EST","home","Philadelphia 76ers","W","0","89","84","W 2"
"51","Wed, Feb 11, 2015","8:00p EST","home","Minnesota Timberwolves","W","0","94","91","W 3"
"52","Fri, Feb 20, 2015","10:30p EST","away","San Antonio Spurs","W","0","110","99","W 4"
"53","Sun, Feb 22, 2015","6:00p EST","home","Indiana Pacers","L","0","98","104","L 1"
"54","Tue, Feb 24, 2015","7:00p EST","home","Washington Wizards","W","0","114","107","W 1"
"55","Thu, Feb 26, 2015","8:00p EST","home","Cleveland Cavaliers","L","0","99","110","L 1"
"56","Fri, Feb 27, 2015","7:30p EST","home","Toronto Raptors","W","0","113","89","W 1"
"57","Sun, Mar 1, 2015","6:00p EST","home","Boston Celtics","W","0","106","101","W 2"
"58","Mon, Mar 2, 2015","7:30p EST","home","Brooklyn Nets","L","0","108","110","L 1"
"59","Wed, Mar 4, 2015","10:30p EST","away","Milwaukee Bucks","W","0","102","93","W 1"
"60","Fri, Mar 6, 2015","10:30p EST","away","Dallas Mavericks","W","0","104","89","W 2"
"61","Sun, Mar 8, 2015","3:30p EST","away","Los Angeles Clippers","W","0","106","98","W 3"
"62","Mon, Mar 9, 2015","10:00p EST","home","Phoenix Suns","W","0","98","80","W 4"
"63","Wed, Mar 11, 2015","10:30p EST","away","Detroit Pistons","W","0","105","98","W 5"
"64","Fri, Mar 13, 2015","9:00p EST","home","Denver Nuggets","L","0","103","114","L 1"
"65","Sat, Mar 14, 2015","10:30p EST","away","New York Knicks","W","0","125","94","W 1"
"66","Mon, Mar 16, 2015","10:30p EST","away","Los Angeles Lakers","W","0","108","105","W 2"
"67","Wed, Mar 18, 2015","10:30p EST","away","Atlanta Hawks","W","0","114","95","W 3"
"68","Fri, Mar 20, 2015","10:30p EST","away","New Orleans Pelicans","W","0","112","96","W 4"
"69","Sat, Mar 21, 2015","10:30p EST","away","Utah Jazz","W","0","106","91","W 5"
"70","Mon, Mar 23, 2015","10:30p EST","away","Washington Wizards","W","0","107","76","W 6"
"71","Tue, Mar 24, 2015","10:30p EST","home","Portland Trail Blazers","W","0","122","108","W 7"
"72","Fri, Mar 27, 2015","8:00p EST","home","Memphis Grizzlies","W","0","107","84","W 8"
"73","Sat, Mar 28, 2015","8:30p EST","home","Milwaukee Bucks","W","0","108","95","W 9"
"74","Tue, Mar 31, 2015","10:30p EST","home","Los Angeles Clippers","W","0","110","106","W 10"
"75","Thu, Apr 2, 2015","10:30p EST","away","Phoenix Suns","W","0","107","106","W 11"
"76","Sat, Apr 4, 2015","8:30p EST","home","Dallas Mavericks","W","0","123","110","W 12"
"77","Sun, Apr 5, 2015","7:00p EST","home","San Antonio Spurs","L","0","92","107","L 1"
"78","Tue, Apr 7, 2015","8:00p EST","home","New Orleans Pelicans","L","0","100","103","L 2"
"79","Thu, Apr 9, 2015","10:30p EST","away","Portland Trail Blazers","W","0","116","105","W 1"
"80","Sat, Apr 11, 2015","10:30p EST","away","Minnesota Timberwolves","W","0","110","101","W 2"
"81","Mon, Apr 13, 2015","10:30p EST","away","Memphis Grizzlies","W","0","111","107","W 3"
"82","Wed, Apr 15, 2015","10:30p EST","away","Denver Nuggets","W","0","133","126","W 4"
